MOD_RAZONA_CUANTITATIVO_PNAL,MOD_LECTURA_CRITICA_PNAL,MOD_COMPETEN_CIUDADA_PNAL,MOD_INGLES_PNAL,MOD_COMUNI_ESCRITA_PNAL,PUNT_GLOBAL,id_unico
16,43,33,37,53.0,136,50298
6,3,25,7,3.0,103,39775
76,90,78,66,62.0,170,25643
32,5,5,35,30.0,119,143760
32,22,78,14,43.0,138,92033
56,39,44,60,38.0,148,102202
86,95,96,94,99.0,200,105523
66,93,93,57,53.0,169,153336
31,33,37,63,8.0,134,47688
22,8,9,24,86.0,129,167343
86,89,90,85,86.0,186,79696
49,44,60,53,29.0,148,62371
89,45,76,50,90.0,169,120747
94,93,93,91,88.0,194,92190
51,76,73,73,49.0,161,21607
88,8,76,19,22.0,144,71699
71,71,76,84,83.0,174,218869
76,90,97,64,99.0,188,104331
88,89,55,68,100.0,201,197191
68,46,43,45,27.0,147,113993
59,22,60,53,15.0,142,55554
37,23,6,18,56.0,125,96324
52,46,49,13,82.0,149,117239
87,96,95,100,64.0,208,22862
99,86,37,53,62.0,169,57049
97,92,95,76,29.0,181,88523
35,55,11,12,71.0,136,156039
